0 2.51309 0.244632 
0.01 2.51008 0.237479 
0.02 2.50674 0.230357 
0.03 2.50305 0.223273 
0.04 2.49903 0.216234 
0.05 2.49469 0.209249 
0.06 2.49002 0.202324 
0.07 2.48504 0.195467 
0.08 2.47975 0.188685 
0.09 2.47416 0.181983 
0.1 2.46828 0.175369 
0.11 2.46211 0.168849 
0.12 2.45567 0.162428 
0.13 2.44896 0.156112 
0.14 2.44199 0.149907 
0.15 2.43476 0.143817 
0.16 2.4273 0.137846 
0.17 2.41961 0.132 
0.18 2.41169 0.126283 
0.19 2.40356 0.120697 
0.2 2.39522 0.115247 
0.21 2.3867 0.109935 
0.22 2.37799 0.104765 
0.23 2.36911 0.0997382 
0.24 2.36006 0.0948575 
0.25 2.35086 0.0901246 
0.26 2.34152 0.085541 
0.27 2.33205 0.0811081 
0.28 2.32245 0.0768268 
0.29 2.31274 0.0726979 
0.3 2.30292 0.0687217 
0.31 2.29301 0.0648986 
0.32 2.28302 0.0612285 
0.33 2.27295 0.0577111 
0.34 2.26281 0.0543459 
0.35 2.25261 0.0511323 
0.36 2.24237 0.0480693 
0.37 2.23208 0.0451559 
0.38 2.22176 0.0423908 
0.39 2.21142 0.0397726 
0.4 2.20105 0.0372997 
0.41 2.19068 0.0349703 
0.42 2.18031 0.0327827 
0.43 2.16994 0.0307348 
0.44 2.15958 0.0288246 
0.45 2.14924 0.0270498 
0.46 2.13892 0.0254083 
0.47 2.12863 0.0238976 
0.48 2.11838 0.0225153 
0.49 2.10818 0.0212589 
0.5 2.09802 0.0201259 
0.51 2.08791 0.0191137 
0.52 2.07785 0.0182196 
0.53 2.06787 0.0174411 
0.54 2.05794 0.0167754 
0.55 2.04809 0.0162198 
0.56 2.03831 0.0157717 
0.57 2.02861 0.0154284 
0.58 2.01899 0.015187 
0.59 2.00946 0.0150451 
0.6 2.00001 0.0149997 
0.61 1.99066 0.0150484 
0.62 1.9814 0.0151885 
0.63 1.97223 0.0154173 
0.64 1.96317 0.0157323 
0.65 1.95421 0.0161309 
0.66 1.94535 0.0166106 
0.67 1.93659 0.0171689 
0.68 1.92795 0.0178034 
0.69 1.91941 0.0185117 
0.7 1.91098 0.0192914 
0.71 1.90266 0.0201402 
0.72 1.89446 0.021056 
0.73 1.88637 0.0220364 
0.74 1.8784 0.0230794 
0.75 1.87054 0.0241827 
0.76 1.86279 0.0253444 
0.77 1.85517 0.0265625 
0.78 1.84766 0.027835 
0.79 1.84027 0.02916 
0.8 1.833 0.0305357 
0.81 1.82585 0.0319602 
0.82 1.81882 0.0334319 
0.83 1.81191 0.0349491 
0.84 1.80512 0.0365101 
0.85 1.79844 0.0381133 
0.86 1.79189 0.0397573 
0.87 1.78545 0.0414405 
0.88 1.77914 0.0431615 
0.89 1.77294 0.0449189 
0.9 1.76687 0.0467114 
0.91 1.76091 0.0485378 
0.92 1.75507 0.0503967 
0.93 1.74934 0.052287 
0.94 1.74374 0.0542076 
0.95 1.73825 0.0561573 
0.96 1.73288 0.058135 
0.97 1.72762 0.0601399 
0.98 1.72248 0.0621708 
0.99 1.71746 0.0642269 
1 1.71254 0.0663073 
1.01 1.70775 0.0684111 
1.02 1.70306 0.0705375 
1.03 1.69849 0.0726857 
1.04 1.69403 0.0748549 
1.05 1.68968 0.0770445 
1.06 1.68544 0.0792538 
1.07 1.68132 0.0814822 
1.08 1.6773 0.0837289 
1.09 1.67339 0.0859935 
1.1 1.66958 0.0882754 
1.11 1.66589 0.090574 
1.12 1.6623 0.0928889 
1.13 1.65882 0.0952196 
1.14 1.65544 0.0975656 
1.15 1.65217 0.0999266 
1.16 1.649 0.102302 
1.17 1.64594 0.104692 
1.18 1.64298 0.107095 
1.19 1.64012 0.109512 
1.2 1.63736 0.111942 
1.21 1.6347 0.114385 
1.22 1.63214 0.116841 
1.23 1.62969 0.119309 
1.24 1.62733 0.121789 
1.25 1.62507 0.124281 
1.26 1.62291 0.126785 
1.27 1.62084 0.129301 
1.28 1.61887 0.131828 
1.29 1.617 0.134366 
1.3 1.61522 0.136915 
1.31 1.61354 0.139475 
1.32 1.61195 0.142046 
1.33 1.61046 0.144628 
1.34 1.60906 0.14722 
1.35 1.60775 0.149823 
1.36 1.60654 0.152437 
1.37 1.60542 0.155061 
1.38 1.60439 0.157696 
1.39 1.60345 0.160341 
1.4 1.6026 0.162996 
1.41 1.60185 0.165661 
1.42 1.60118 0.168337 
1.43 1.60061 0.171023 
1.44 1.60012 0.17372 
1.45 1.59972 0.176426 
1.46 1.59941 0.179143 
1.47 1.59919 0.181871 
1.48 1.59906 0.184608 
1.49 1.59902 0.187356 
1.5 1.59907 0.190114 
1.51 1.5992 0.192882 
1.52 1.59942 0.195661 
1.53 1.59973 0.19845 
1.54 1.60012 0.20125 
1.55 1.60061 0.20406 
1.56 1.60118 0.20688 
1.57 1.60183 0.209711 
1.58 1.60258 0.212553 
1.59 1.60341 0.215404 
1.6 1.60432 0.218267 
1.61 1.60533 0.22114 
1.62 1.60642 0.224023 
1.63 1.60759 0.226917 
1.64 1.60886 0.229821 
1.65 1.61021 0.232736 
1.66 1.61164 0.235662 
1.67 1.61317 0.238598 
1.68 1.61478 0.241544 
1.69 1.61647 0.244501 
1.7 1.61826 0.247468 
1.71 1.62013 0.250446 
1.72 1.62208 0.253434 
1.73 1.62413 0.256433 
1.74 1.62626 0.259441 
1.75 1.62848 0.26246 
1.76 1.63079 0.265489 
1.77 1.63318 0.268527 
1.78 1.63567 0.271576 
1.79 1.63824 0.274634 
1.8 1.6409 0.277702 
