0 1.16027 2.35885 
0.01 1.21277 2.38484 
0.02 1.26818 2.4044 
0.03 1.32649 2.41616 
0.04 1.38764 2.41859 
0.05 1.45148 2.41 
0.06 1.51776 2.38855 
0.07 1.58611 2.35227 
0.08 1.65603 2.29917 
0.09 1.72682 2.22721 
0.1 1.79765 2.13454 
0.11 1.86746 2.0195 
0.12 1.93503 1.88089 
0.13 1.99898 1.71806 
0.14 2.05781 1.53114 
0.15 2.10994 1.32115 
0.16 2.15384 1.09013 
0.17 2.1881 0.841174 
0.18 2.21152 0.578338 
0.19 2.22325 0.306492 
0.2 2.22282 0.031054 
0.21 2.21021 -0.242347 
0.22 2.18583 -0.508223 
0.23 2.15053 -0.761571 
0.24 2.10546 -0.998148 
0.25 2.05203 -1.21466 
0.26 1.99178 -1.40884 
0.27 1.92629 -1.57945 
0.28 1.85708 -1.72616 
0.29 1.78556 -1.84946 
0.3 1.713 -1.95042 
0.31 1.64045 -2.03056 
0.32 1.5688 -2.0917 
0.33 1.49876 -2.13577 
0.34 1.43084 -2.16477 
0.35 1.36543 -2.18063 
0.36 1.30279 -2.18519 
0.37 1.24308 -2.18014 
0.38 1.18636 -2.16702 
0.39 1.13266 -2.1472 
0.4 1.08191 -2.12189 
0.41 1.03405 -2.09215 
0.42 0.988974 -2.05888 
0.43 0.94656 -2.02288 
0.44 0.906676 -1.98479 
0.45 0.869188 -1.94519 
0.46 0.833957 -1.90455 
0.47 0.800849 -1.86326 
0.48 0.769729 -1.82164 
0.49 0.740472 -1.77998 
0.5 0.712955 -1.73848 
0.51 0.687063 -1.69733 
0.52 0.662686 -1.65667 
0.53 0.639724 -1.61662 
0.54 0.61808 -1.57726 
0.55 0.597666 -1.53868 
0.56 0.578398 -1.5009 
0.57 0.560199 -1.46399 
0.58 0.542998 -1.42795 
0.59 0.526728 -1.39281 
0.6 0.511329 -1.35857 
0.61 0.496742 -1.32524 
0.62 0.482916 -1.29281 
0.63 0.4698 -1.26126 
0.64 0.457351 -1.23059 
0.65 0.445525 -1.20079 
0.66 0.434285 -1.17182 
0.67 0.423593 -1.14369 
0.68 0.413417 -1.11636 
0.69 0.403725 -1.08981 
0.7 0.394488 -1.06402 
0.71 0.38568 -1.03898 
0.72 0.377276 -1.01465 
0.73 0.369253 -0.991023 
0.74 0.361588 -0.968067 
0.75 0.354262 -0.945763 
0.76 0.347255 -0.924091 
0.77 0.340552 -0.903029 
0.78 0.334135 -0.882557 
0.79 0.327988 -0.862656 
0.8 0.322098 -0.843305 
0.81 0.316452 -0.824485 
0.82 0.311036 -0.80618 
0.83 0.30584 -0.78837 
0.84 0.300851 -0.771039 
0.85 0.296061 -0.754171 
0.86 0.291458 -0.737748 
0.87 0.287035 -0.721757 
0.88 0.282782 -0.706181 
0.89 0.278692 -0.691006 
0.9 0.274757 -0.676219 
0.91 0.27097 -0.661806 
0.92 0.267324 -0.647755 
0.93 0.263813 -0.634052 
0.94 0.26043 -0.620686 
0.95 0.257171 -0.607645 
0.96 0.25403 -0.594918 
0.97 0.251002 -0.582495 
0.98 0.248082 -0.570365 
