0.77 0.167431 0.415675 -0.538808 2.28605 0.161351 0.162242 
0.78 0.166575 0.4276 -0.545737 2.31609 0.161407 0.164823 
0.79 0.165705 0.440106 -0.552773 2.34646 0.161454 0.1675 
0.8 0.164821 0.453225 -0.55992 2.3771 0.161492 0.170277 
0.81 0.163923 0.466993 -0.567186 2.40796 0.161521 0.17316 
0.82 0.163012 0.481448 -0.574574 2.43896 0.16154 0.176155 
0.83 0.162087 0.496628 -0.582092 2.47001 0.16155 0.179268 
0.84 0.161148 0.512574 -0.589746 2.50103 0.161551 0.182505 
0.85 0.160195 0.529328 -0.597543 2.53189 0.161542 0.185872 
0.86 0.159229 0.546933 -0.605489 2.56246 0.161524 0.189376 
0.87 0.158248 0.565435 -0.613594 2.59259 0.161496 0.193026 
0.88 0.157254 0.584878 -0.621864 2.62209 0.161459 0.196827 
0.89 0.156247 0.605309 -0.630309 2.65076 0.161412 0.200789 
0.9 0.155225 0.626772 -0.638938 2.67836 0.161356 0.20492 
0.91 0.154189 0.649311 -0.647759 2.70462 0.161289 0.209229 
0.92 0.15314 0.672968 -0.656783 2.72925 0.161214 0.213725 
0.93 0.152076 0.697782 -0.666021 2.75187 0.161128 0.218417 
0.94 0.150998 0.723785 -0.675484 2.77212 0.161033 0.223316 
0.95 0.149906 0.751005 -0.685182 2.78954 0.160927 0.22843 
0.96 0.148799 0.779457 -0.695129 2.80365 0.160812 0.233771 
0.97 0.147678 0.809149 -0.705337 2.81389 0.160687 0.239347 
0.98 0.146543 0.840069 -0.715818 2.81967 0.160552 0.24517 
0.99 0.145392 0.872192 -0.726587 2.82032 0.160407 0.251248 
1 0.144227 0.905465 -0.737657 2.81514 0.160252 0.257592 
1.01 0.143046 0.939813 -0.749042 2.80336 0.160086 0.264208 
1.02 0.141851 0.975126 -0.760757 2.78415 0.159911 0.271106 
1.03 0.14064 1.01126 -0.772817 2.75669 0.159725 0.278291 
1.04 0.139413 1.04802 -0.785234 2.72008 0.159529 0.285767 
1.05 0.138171 1.08519 -0.798025 2.67347 0.159323 0.293536 
1.06 0.136912 1.12247 -0.811202 2.616 0.159106 0.301599 
1.07 0.135638 1.15954 -0.82478 2.54688 0.158879 0.309952 
1.08 0.134347 1.19599 -0.838769 2.4654 0.158641 0.318588 
1.09 0.13304 1.23139 -0.853181 2.37099 0.158393 0.327496 
1.1 0.131717 1.26526 -0.868026 2.26325 0.158134 0.33666 
1.11 0.130377 1.29706 -0.883311 2.14202 0.157865 0.34606 
1.12 0.12902 1.32623 -0.899041 2.00737 0.157584 0.35567 
1.13 0.127647 1.35222 -0.915218 1.85972 0.157293 0.36546 
1.14 0.126257 1.37446 -0.931842 1.69978 0.156991 0.375393 
1.15 0.124851 1.39243 -0.948908 1.52864 0.156679 0.385427 
1.16 0.123428 1.40567 -0.966409 1.34769 0.156355 0.395517 
1.17 0.121989 1.41378 -0.984332 1.15868 0.15602 0.405613 
1.18 0.120535 1.41648 -1.00266 0.963573 0.155674 0.415662 
1.19 0.119065 1.41359 -1.02138 0.764574 0.155317 0.425611 
1.2 0.117581 1.40508 -1.04045 0.563989 0.154949 0.435403 
1.21 0.116082 1.39105 -1.05986 0.364154 0.15457 0.444986 
1.22 0.114569 1.37171 -1.07956 0.167342 0.154179 0.454308 
1.23 0.113044 1.3474 -1.09952 -0.0243177 0.153778 0.463319 
1.24 0.111508 1.31857 -1.11971 -0.208922 0.153365 0.471976 
1.25 0.10996 1.28573 -1.14007 -0.384843 0.15294 0.480239 
1.26 0.108404 1.24946 -1.16057 -0.550765 0.152505 0.488075 
1.27 0.106838 1.21034 -1.18115 -0.705702 0.152058 0.495459 
1.28 0.105266 1.16899 -1.20178 -0.848994 0.151601 0.502367 
1.29 0.103688 1.12598 -1.2224 -0.980286 0.151132 0.508787 
1.3 0.102107 1.08188 -1.24296 -1.0995 0.150652 0.514709 
1.31 0.100522 1.0372 -1.26343 -1.20678 0.150161 0.52013 
1.32 0.0989369 0.992382 -1.28375 -1.3025 0.149659 0.525052 
1.33 0.0973522 0.947833 -1.30388 -1.38713 0.149147 0.529479 
1.34 0.0957699 0.903891 -1.32378 -1.46131 0.148623 0.533423 
1.35 0.0941915 0.860837 -1.34341 -1.52572 0.148089 0.536893 
1.36 0.0926188 0.818898 -1.36273 -1.58108 0.147545 0.539907 
1.37 0.0910533 0.778252 -1.38171 -1.62815 0.146991 0.542479 
1.38 0.0894968 0.739031 -1.40032 -1.66766 0.146427 0.544628 
1.39 0.0879508 0.701328 -1.41853 -1.70034 0.145852 0.546373 
1.4 0.0864167 0.665203 -1.43631 -1.72688 0.145269 0.547734 
1.41 0.0848963 0.630687 -1.45363 -1.74793 0.144676 0.548729 
1.42 0.0833907 0.597789 -1.47049 -1.76409 0.144073 0.54938 
1.43 0.0819016 0.566497 -1.48686 -1.77594 0.143462 0.549704 
1.44 0.08043 0.536785 -1.50272 -1.78397 0.142842 0.549722 
1.45 0.0789772 0.508617 -1.51807 -1.78865 0.142214 0.549451 
